0,11
1,13
2,12
3,11
4,11
5,11
6,13
7,12
8,13
9,11
10,12
11,12
12,12
13,13
14,11
15,11
16,11
17,12
18,13
19,11
20,12
21,13
22,13
23,11
24,12
25,12
26,11
27,11
28,12
29,13
30,12
31,12
32,13
33,11
34,11
35,13
36,13
37,11
38,11
39,12
40,11
41,11
42,11
43,13
44,12
45,12
46,12
47,13
48,12
49,11
50,11
51,12
52,13
53,11
54,12
55,13
56,12
57,12
58,13
59,13
60,12
61,11
62,13
63,11
64,12
65,12
66,13
67,11
68,12
69,11
70,13
71,13
72,13
73,12
74,11
75,13
76,13
77,12
78,11
79,13
80,12
81,11
82,12
83,13
84,12
85,12
86,12
87,13
88,13
89,12
90,13
91,11
92,13
93,12
94,13
95,12
96,12
97,13
98,11
99,11
