0,147
1,161
2,79
3,102
4,158
5,141
6,139
7,112
8,106
9,160
10,171
11,97
12,74
13,71
14,158
15,93
16,140
17,111
18,149
19,121
20,123
21,70
22,114
23,115
24,78
25,123
26,167
27,168
28,168
29,145
30,88
31,136
32,114
33,104
34,173
35,123
36,91
37,158
38,119
39,133
40,105
41,74
42,114
43,72
44,131
45,101
46,171
47,89
48,151
49,81
50,137
51,74
52,111
53,146
54,149
55,168
56,165
57,76
58,127
59,97
60,92
61,125
62,169
63,118
64,92
65,73
66,119
67,178
68,79
69,176
70,151
71,123
72,111
73,130
74,139
75,69
76,113
77,164
78,172
79,95
80,127
81,160
82,167
83,124
84,137
85,105
86,176
87,136
88,173
89,81
90,155
91,152
92,90
93,104
94,119
95,174
96,153
97,84
98,105
99,166
