0,71
1,75
2,32
3,12
4,47
5,28
6,64
7,25
8,33
9,64
10,16
11,29
12,36
13,48
14,24
15,71
16,78
17,76
18,78
19,27
20,47
21,41
22,16
23,76
24,15
25,71
26,13
27,25
28,69
29,67
30,31
31,43
32,43
33,60
34,53
35,43
36,37
37,56
38,33
39,71
40,59
41,18
42,62
43,13
44,62
45,78
46,19
47,66
48,58
49,51
50,71
51,17
52,80
53,62
54,46
55,61
56,17
57,43
58,16
59,21
60,38
61,62
62,55
63,59
64,73
65,35
66,39
67,55
68,36
69,12
70,21
71,65
72,34
73,45
74,74
75,15
76,25
77,49
78,47
79,11
80,63
81,12
82,54
83,64
84,60
85,35
86,55
87,52
88,58
89,57
90,73
91,80
92,68
93,38
94,28
95,26
96,30
97,56
98,76
99,12
