0,56
1,57
2,55
3,55
4,55
5,59
6,55
7,57
8,59
9,57
10,57
11,56
12,57
13,55
14,57
15,56
16,56
17,56
18,56
19,59
20,56
21,56
22,59
23,56
24,55
25,55
26,56
27,59
28,56
29,57
30,59
31,56
32,58
33,59
34,59
35,55
36,55
37,57
38,59
39,59
40,56
41,55
42,57
43,56
44,57
45,55
46,55
47,55
48,58
49,56
50,55
51,56
52,56
53,58
54,55
55,59
56,56
57,58
58,55
59,59
60,57
61,59
62,55
63,58
64,59
65,57
66,58
67,58
68,59
69,56
70,55
71,55
72,55
73,56
74,56
75,57
76,57
77,59
78,55
79,55
80,58
81,55
82,57
83,56
84,56
85,58
86,58
87,57
88,55
89,59
90,56
91,56
92,56
93,58
94,55
95,57
96,59
97,58
98,58
99,59
